StartDate,EndDate,relationship_status,relationship_length,sleeping_alone_frequency,"When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,income,Education,Location (Census Region)
,,Response,Response,Response,Response,Other (please specify),Response,Other (please specify),One of us snores,One of us makes frequent bathroom trips in the night,One of us is sick,We are no longer physically intimate,We have different temperature preferences for the room,We've had an argument or fight,Not enough space,Do not want to share the covers,One of us needs to sleep with a child,Night working/very different sleeping times,Other (please specify),Response,Response,Response,Response,Response,Other (please specify),Response,Response,Response,Response,Response
7/10/14 18:37,7/10/14 18:39,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Other (please specify),Student,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
7/10/14 15:54,7/10/14 15:56,"Single, but cohabiting with a significant other",1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,One of us is sick,,,We've had an argument or fight,,Do not want to share the covers,,,,Immediately/ We've always slept in separate beds,Somewhat agree,Strongly agree,Strongly disagree,Healthcare Support Occupations,,Male,18-29,,Bachelor degree,South Atlantic
7/10/14 15:44,7/10/14 15:49,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,18-29,"$150,000.00",Graduate degree,South Atlantic
7/10/14 13:47,7/10/14 13:47,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
7/10/14 13:13,7/10/14 13:14,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Male,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic
7/10/14 4:29,7/10/14 4:30,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,18-29,"$0 - $24,999",High school degree,East North Central
7/10/14 2:44,7/10/14 2:44,"Single, but cohabiting with a significant other",Less than 1 year,Every night,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/14 2:02,7/10/14 2:03,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,,,,,
7/10/14 1:41,7/10/14 1:43,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Technology Consultant,Male,45-60,,Graduate degree,Mountain
7/9/14 20:01,7/10/14 0:47,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Female,> 60,"$25,000 - $49,999",High school degree,West North Central
7/10/14 0:19,7/10/14 0:20,"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,Building and Grounds Cleaning and Maintenance Occupations,,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
7/9/14 23:44,7/9/14 23:44,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Protective Service Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 23:42,7/9/14 23:45,Married,6-10 years,Once a month or less,On the couch/chair,,Separate bedroom,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 23:41,7/9/14 23:42,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 23:39,7/9/14 23:40,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England
7/9/14 23:38,7/9/14 23:42,Married,16-20 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,We have different temperature preferences for the room,,,,,,Other (please specify),Within 11-15 years of our relationship,Strongly agree,Strongly agree,Somewhat agree,Healthcare Practitioners and Technical Occupations,,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
